EdgeA,EdgeB,FamilyWeight,LanguageWeight,WordWeight
781,797,1,1,1
781,1728,1,1,1
781,1752,1,1,1
781,1198,1,1,1
781,1074,1,1,1
781,920,1,1,1
781,1203,1,1,1
781,1506,1,1,1
781,1973,1,1,1
781,1841,1,1,1
781,1572,4,4,4
781,1602,1,1,1
781,1979,1,1,1
781,710,1,2,2
781,1000,5,6,7
781,1222,1,1,1
781,1259,1,1,1
781,1308,1,1,1
781,40,1,1,2
781,1808,1,1,1
781,204,1,1,1
781,731,1,1,1
781,1274,1,1,1
781,735,1,1,1
781,1776,2,3,3
781,275,1,1,1
781,1192,1,1,1
781,707,1,1,1
781,1989,1,1,1
781,420,1,1,1
1429,1662,1,1,1
1429,129,1,1,1
1429,1635,1,1,1
1429,1453,1,1,1
1429,2,1,1,1
1429,1198,1,1,1
1429,178,2,2,3
1429,727,1,1,1
1429,1199,1,1,1
1429,690,1,1,1
1429,617,1,1,1
1429,819,1,1,1
1429,1079,1,1,1
1429,1393,1,1,1
1429,1463,1,2,2
1429,1420,1,1,1
1429,694,1,1,1
1429,1958,1,1,1
1429,1819,1,1,1
1429,1515,1,1,1
1429,1989,1,1,1
1429,674,1,1,1
1429,1752,1,1,1
1429,1576,1,1,1
1429,1689,1,1,1
1429,1033,1,1,1
1429,1910,1,1,1
1429,1881,3,3,3
1429,581,1,1,1
1429,1607,1,1,1
1429,2139,1,1,1
1429,1422,1,1,1
1429,1085,1,1,1
1429,1726,1,1,1
1429,804,1,1,1
1429,195,1,1,1
1429,1090,1,1,1
1429,782,1,1,1
1429,1363,1,1,1
1429,1620,1,1,1
1429,1244,2,2,2
1429,112,1,2,2
1429,136,1,1,1
1429,1801,1,1,1
1429,709,1,1,1
1429,259,1,1,1
1429,721,1,1,1
1429,291,1,1,1
1429,1599,1,2,2
1429,1148,1,1,1
1429,793,2,2,2
1429,1235,1,1,1
1429,1623,1,1,1
1429,1874,1,1,1
340,257,1,1,1
128,1115,1,1,1
128,321,2,2,3
128,82,1,1,1
128,323,1,1,1
128,1866,2,2,2
128,1088,1,1,4
128,1711,2,2,2
128,1983,1,1,1
128,1458,1,1,1
128,55,10,13,13
128,716,1,1,1
128,1623,1,1,1
225,1538,1,1,1
225,1763,1,1,1
225,224,5,15,15
225,2003,1,1,1
225,1428,1,1,1
225,2125,1,1,1
225,157,1,1,1
225,1033,1,1,1
225,23,1,1,1
225,310,1,1,1
225,606,1,1,1
225,1268,1,1,1
225,636,2,2,2
225,241,1,1,1
225,1417,1,1,1
225,281,2,2,2
225,344,1,1,2
225,1281,1,1,1
225,1888,1,2,2
225,838,1,1,1
225,409,1,1,2
225,68,1,2,2
225,1770,1,1,1
225,1769,1,1,1
225,1132,1,1,1
225,1472,1,1,2
225,951,1,1,1
225,337,1,1,1
225,1519,1,1,1
225,897,1,1,1
225,2133,1,1,1
225,1613,1,1,1
225,1725,1,1,1
225,354,1,1,1
1533,1888,1,1,1
1533,158,1,1,1
1533,414,1,1,1
1533,1793,1,1,1
1533,199,3,3,3
1533,2118,1,1,1
1533,14,1,1,1
1533,743,1,1,1
1533,1264,1,1,1
1533,584,1,1,1
1533,1674,1,1,1
1533,1784,1,1,1
799,358,1,1,1
799,710,2,2,2
799,1303,1,1,1
799,1183,2,2,2
799,981,3,3,3
799,1642,1,1,1
799,611,1,1,1
799,1673,6,9,9
799,1754,1,1,1
799,1277,7,12,13
799,1966,1,1,1
632,1651,1,1,1
632,506,1,2,2
632,476,1,1,1
632,1115,1,1,4
632,1823,1,1,1
632,607,1,1,1
632,695,1,1,1
632,284,1,1,4
632,1458,1,1,4
632,121,1,1,1
632,673,1,1,1
632,1857,4,4,4
632,1421,1,1,4
632,221,1,1,1
632,493,1,1,1
632,1541,1,1,1
632,1388,1,1,1
632,1555,1,1,1
632,1006,1,1,1
632,1752,1,1,1
632,503,1,1,1
632,1749,1,1,1
632,1623,1,1,4
1668,1783,7,17,18
1668,1810,1,1,1
1668,1875,7,14,14
1668,1085,1,1,1
1668,584,1,1,1
1668,1594,1,1,1
1668,82,2,2,2
1668,1090,1,1,1
1668,1186,1,1,1
1668,1395,1,1,1
1668,2261,1,1,1
1668,56,2,4,4
1668,1149,1,1,1
1668,1839,1,1,1
1668,1244,1,1,1
1668,48,1,1,1
1668,1000,8,12,13
1668,708,1,1,1
1668,11,1,1,1
1668,281,1,1,1
1668,1079,1,1,1
1668,1415,2,2,2
1668,981,1,1,1
1668,292,1,1,1
1668,923,1,1,1
1668,80,1,1,1
1668,184,1,1,1
1668,1210,2,2,2
1668,887,1,1,1
1668,1609,2,2,2
1668,1500,1,2,2
1668,1986,1,1,1
1668,1700,1,1,1
1668,1141,3,6,7
1668,1286,1,1,1
1668,388,1,1,1
1668,1314,1,1,1
768,352,1,1,1
768,1592,1,1,1
768,1753,1,1,1
768,1384,1,1,1
768,1336,2,3,4
768,526,1,1,1
768,2018,1,1,1
768,1322,6,10,10
768,1833,11,17,19
768,12,3,5,5
768,477,1,1,1
768,2255,1,1,1
768,1526,5,5,5
768,1278,1,1,1
768,256,3,3,3
1232,1856,1,1,1
1232,1759,1,1,1
1232,682,1,1,1
1232,1258,1,1,1
1232,1728,1,1,1
1232,1705,1,1,1
1232,694,1,1,1
1232,792,1,1,1
1232,1534,2,2,2
1232,1855,1,1,1
1232,715,1,1,1
1232,1757,1,1,1
1232,1462,1,1,1
1232,1686,1,1,1
1232,1225,1,1,1
1232,221,1,1,1
1232,2146,1,1,1
1232,854,1,1,1
1232,1217,1,1,1
1232,1291,1,1,1
1232,1564,1,2,2
1232,822,1,1,1
1232,1601,1,1,1
1232,126,2,2,2
1232,945,1,1,1
1232,531,1,1,1
1232,1286,20,47,52
1232,1585,1,1,1
1531,1303,1,1,1
1531,189,1,1,1
1531,948,1,1,1
1531,1256,1,1,1
1531,1840,1,1,1
1531,1236,1,1,1
1531,1763,1,1,1
1531,67,1,1,1
1531,1838,1,1,1
1531,684,1,1,1
1531,139,1,1,1
1531,1547,1,1,1
1531,977,1,1,1
1531,1247,1,1,1
1531,617,1,2,2
1531,1966,1,1,1
1531,1277,4,4,4
1531,2136,1,1,1
1531,311,1,1,1
1531,1393,4,6,6
1531,214,1,1,1
1531,1160,1,1,1
1531,670,2,2,2
1531,930,1,1,1
1531,2575,1,1,1
1531,658,1,1,1
1531,1459,1,1,1
1531,1215,1,1,1
1531,906,2,2,3
1531,2139,1,1,1
1531,783,1,1,1
1531,1389,1,1,1
1531,113,1,1,1
1531,946,1,1,1
1531,1297,1,1,1
1531,1689,1,1,1
1531,1673,6,8,8
1531,1441,1,1,1
1531,234,1,1,1
