1875,1668,7,8,8
1875,1141,2,7,8
1875,1810,1,1,1
1875,1000,1,1,1
1847,1109,1,1,1
1847,1783,7,11,11
1847,1986,1,1,1
682,863,2,2,2
682,801,2,2,2
682,1816,1,1,1
682,113,1,2,2
369,1914,8,52,56
881,914,1,1,1
881,877,2,2,2
881,1001,1,2,2
881,359,1,1,1
881,875,1,1,1
881,1042,1,1,1
601,13,7,7,7
601,1792,4,4,4
38,214,3,5,5
1407,168,1,1,1
1407,27,4,5,6
1407,960,2,3,3
700,43,1,1,1
700,692,2,2,2
700,694,1,1,1
700,1749,1,1,1
1260,1225,1,1,1
1260,952,1,1,1
1260,892,1,1,1
805,172,1,1,1
805,1394,15,50,51
805,1291,19,56,57
805,1994,1,1,1
1150,2007,4,5,5
594,779,1,1,1
1760,1263,3,5,5
1760,1640,5,25,25
1760,1643,2,2,2
1760,1262,14,64,67
1760,1761,2,2,2
43,412,1,1,1
43,692,1,1,1
43,700,3,3,3
43,694,2,2,2
43,1749,1,1,1
1642,1619,2,3,3
1642,1618,4,7,7
1642,1063,9,12,12
1495,1427,2,2,2
1495,1035,2,2,2
237,2254,1,1,1
237,2255,1,1,1
1402,154,1,1,1
1402,1592,2,2,2
1402,796,1,1,1
504,724,1,2,2
504,1929,6,12,12
504,709,5,11,11
531,822,3,4,4
1586,375,4,4,4
1586,42,2,2,2
1586,1587,5,6,6
1586,376,2,2,3
1519,2003,1,1,1
1325,505,1,1,1
1325,1644,1,1,1
1702,704,2,2,2
1702,1035,1,1,1
1702,1427,1,1,1
359,881,2,2,2
359,914,2,2,2
359,877,1,1,1
359,1042,1,1,1
359,1001,1,1,1
1443,695,4,5,6
1443,1752,1,1,1
1599,1307,1,1,1
1244,1202,4,4,4
1244,1243,1,1,1
794,1201,1,1,2
1922,695,2,2,3
1922,1443,2,2,3
1922,2014,3,7,7
712,1944,1,3,3
712,383,1,1,1
712,1545,1,1,1
10,1296,1,1,1
10,906,1,1,2
10,1803,5,10,10
10,1763,1,1,1
911,335,1,1,1
911,673,1,1,1
911,1349,1,1,1
1277,1673,1,2,2
1277,799,1,1,1
1994,172,1,1,1
1994,1394,12,35,36
1994,1291,1,1,1
1994,1482,6,12,13
477,1233,1,1,1
477,701,1,1,1
477,1629,1,1,1
1767,230,1,1,1
323,1245,3,3,3
323,1484,4,5,5
1667,1155,2,2,2
1666,996,1,1,1
154,1402,6,6,6
154,796,2,2,2
154,635,2,2,2
1246,1242,2,2,2
426,962,14,29,29
426,1199,7,12,12
426,1551,8,9,9
426,2260,2,2,2
426,2262,5,5,5
490,1357,1,1,1
490,1366,1,1,1
490,1207,1,1,1
490,1801,10,12,12
490,1620,3,3,3
1881,1429,1,1,1
304,9,3,4,4
304,1623,6,7,9
304,1626,5,5,5
304,1115,4,5,5
304,1711,3,3,3
304,1039,1,1,1
304,1458,8,11,14
1081,369,1,1,1
1081,657,2,2,2
1081,1914,2,3,3
1482,1394,2,4,4
1482,1291,1,1,1
1454,230,1,1,1
1945,1002,6,6,6
1945,1367,1,3,3
185,1143,1,1,1
907,406,11,30,31
907,1496,4,6,6
907,1229,13,42,42
281,1803,2,3,3
281,184,1,1,1
281,1775,2,2,2
281,745,1,1,4
281,906,1,2,4
281,10,1,1,1
1620,1801,3,6,6
1620,1304,2,3,3
1620,76,4,4,4
1620,1289,1,1,1
1620,1357,1,2,2
1620,1366,5,5,5
102,208,1,1,1
102,1287,5,13,14
761,1046,3,3,3
673,335,1,1,1
1042,881,1,2,2
1042,914,1,1,1
1042,1001,2,3,3
1042,359,2,4,4
1042,875,1,1,1
1042,877,3,4,4
183,2146,3,6,6
1588,430,1,2,2
1588,2004,1,1,1
1588,1470,1,1,1
1588,1445,6,9,9
1588,827,3,4,4
588,1437,1,1,1
588,680,7,10,10
1399,640,1,1,1
