Identifier,Language_name,Language_ID,Family,Longitude,Latitude
ossetic_osse1243,Ossetic,osse1243,Indo-European [indo1319],43.26738,41.78816
bellacoola_bell1243,Bella Coola,bell1243,Salishan [sali1255],-126.68948,52.34481
siona_sion1247,Siona,sion1247,Tucanoan [tuca1253],-76.02367,0.31733
waura_waur1244,Waurá,waur1244,Arawakan [araw1281],-53.69711,-13.29598
avar_avar1256,Avar,avar1256,Nakh-Daghestanian [nakh1245],46.55802,41.70474
langjabuyang_emab1235,Langja Buyang,emab1235,Tai-Kadai [taik1256],104.44861,23.0105
karok_karo1304,Karok,karo1304,NAN,-123.31534,41.82283
hunzib_hunz1247,Hunzib,hunz1247,Nakh-Daghestanian [nakh1245],46.13691,42.08076
dutch_dutc1256,Dutch,dutc1256,Indo-European [indo1319],5.0,52.0
bulgarian_bulg1262,Bulgarian,bulg1262,Indo-European [indo1319],25.046986666666665,43.364585
lowersorbian_lowe1385,Lower Sorbian,lowe1385,Indo-European [indo1319],13.9407,51.66213
latvian_latv1249,Latvian,latv1249,Indo-European [indo1319],24.309118,56.826108
panare_enap1235,Panare,enap1235,Cariban [cari1283],-65.84825,6.95035
samre_samr1245,Samre,samr1245,Austroasiatic [aust1305],103.978,13.47899
oroqen_oroq1238,Oroqen,oroq1238,Tungusic [tung1282],125.01685,50.63193
punjabi_west2386,Punjabi,west2386,Indo-European [indo1319],75.34742499999999,30.094839999999998
bari_bari1297,Barí,bari1297,Chibchan [chib1249],-72.93525500000001,9.08497
pear_pear1247,Pear,pear1247,Austroasiatic [aust1305],105.02774,13.593
yuwana_yuwa1244,Yuwana,yuwa1244,NAN,-65.4267,5.63879
seri_seri1257,Seri,seri1257,NAN,-112.38366,28.98767
xu_huuu1240,Xu,huuu1240,Austroasiatic [aust1305],100.88061,22.01635
azerbaijaniterekemedialect_nort2697,Azerbaijani (Terekeme dialect),nort2697,Turkic [turk1311],46.4736975,40.977675000000005
chatinozacatepecvariety_zaca1242,Chatino (Zacatepec variety),zaca1242,Otomanguean [otom1299],-97.3069,16.07998
goajiro_wayu1243,Goajiro,wayu1243,Arawakan [araw1281],-71.81012,10.22515
rutulborchinokhnowdialect_rutu1240,Rutul (Borchino Khnow dialect),rutu1240,Nakh-Daghestanian [nakh1245],47.32436,41.61866
hup_hupd1244,Hup,hupd1244,Nadahup [nada1235],-69.835915,0.58622
yaminahua_yami1256,Yaminahua,yami1256,Panoan [pano1256],-71.59643333333334,-9.884596666666667
zuni_zuni1245,Zuni,zuni1245,NAN,-108.78197,35.00561
tuyuca_tuyu1244,Tuyuca,tuyu1244,Tucanoan [tuca1253],-70.043515,0.39441000000000004
gununakune_puel1244,Gününa Küne,puel1244,NAN,-62.94127,-36.63757
eseejja_esee1248,Ese Ejja,esee1248,Tacanan [taca1255],-67.51496,-11.72683
yaruro_pume1238,Yaruro,pume1238,NAN,-67.59958,7.10677
avareastgergebildialect_avar1256,Avar (East Gergebil dialect),avar1256,Nakh-Daghestanian [nakh1245],46.55802,41.70474
kme2kemievariety_manm1238,Kme-2 (Kemie variety),manm1238,Austroasiatic [aust1305],100.84153,22.07427
romani_vlax1238,Romani,vlax1238,Indo-European [indo1319],14.845092631578947,46.819123684210524
kanuri_cent2050,Kanuri,cent2050,Saharan [saha1256],16.391838,11.886274
nivacle_niva1238,Nivaclé,niva1238,Matacoan [mata1289],-61.76058999999999,-22.855710000000002
northernhaida_nort2938,Northern Haida,nort2938,Haida [haid1248],-132.46483999999998,54.69307
maori_maor1246,Maori,maor1246,Austronesian [aust1307],176.54055,-38.28814
andi_andi1255,Andi,andi1255,Nakh-Daghestanian [nakh1245],46.29187,42.80785
bagvalal_bagv1239,Bagvalal,bagv1239,Nakh-Daghestanian [nakh1245],46.1041,42.39664
paez_paez1247,Páez,paez1247,NAN,-76.31254,2.61516
botlikhmiarsodialect_botl1242,Botlikh (Miarso dialect),botl1242,Nakh-Daghestanian [nakh1245],46.19437,42.7658
thai_thai1261,Thai,thai1261,Tai-Kadai [taik1256],100.671386,14.191968
southerntaisongkhlavariety_sout2746,Southern Tai (Songkhla variety),sout2746,Tai-Kadai [taik1256],99.7031,6.85668
erzyamordvin_erzy1239,Erzya Mordvin,erzy1239,Uralic [ural1272],45.3901,52.85479
itonama_iton1250,Itonama,iton1250,NAN,-64.35748,-12.80431
maca_maca1260,Maca,maca1260,Matacoan [mata1289],-57.36935,-25.01186
moderngreek_mode1248,Modern Greek,mode1248,Indo-European [indo1319],24.86993777777778,42.32238555555555
upperchehalis_uppe1439,Upper Chehalis,uppe1439,Salishan [sali1255],-123.16929,46.79807
mangch_mang1378,Mang Ch,mang1378,Austroasiatic [aust1305],102.13320333333333,21.430453333333332
dargwa_darg1241,Dargwa,darg1241,Nakh-Daghestanian [nakh1245],47.43876,42.42568
mashcopiro_mash1270,Mashco Piro,mash1270,Arawakan [araw1281],-70.79527,-11.47453
tindi_tind1238,Tindi,tind1238,Nakh-Daghestanian [nakh1245],45.92268,42.33164
aguaruna_agua1253,Aguaruna,agua1253,Jivaroan [jiva1245],-77.92179,-5.30044
wapishana_wapi1253,Wapishana,wapi1253,Arawakan [araw1281],-59.80212,2.587435
dargwausishadialect_darg1241,Dargwa (Usisha dialect),darg1241,Nakh-Daghestanian [nakh1245],47.43876,42.42568
araona_arao1248,Araona,arao1248,Tacanan [taca1255],-67.72934,-12.42423
marquesan_sout2866,Marquesan,sout2866,Austronesian [aust1307],-138.97893,-9.75663
kumykterbragundialect_kumy1244,Kumyk (Ter Bragun dialect),kumy1244,Turkic [turk1311],47.0,43.0
yaqui_yaqu1251,Yaqui,yaqu1251,Uto-Aztecan [utoa1244],-110.68099000000001,29.94463
mocovi_moco1246,Mocoví,moco1246,Guaicuruan [guai1249],-60.41448,-28.09699
dargwagubdendialect_darg1241,Dargwa (Gubden dialect),darg1241,Nakh-Daghestanian [nakh1245],47.43876,42.42568
ahlaoth_aheu1239,Ahlao Th,aheu1239,Austroasiatic [aust1305],104.228545,17.76548
cashibo_cash1251,Cashibo,cash1251,Panoan [pano1256],-75.42062,-8.70232
epena_epen1239,Epena,epen1239,Chocoan [choc1280],-77.356568,4.258768
swedish_swed1254,Swedish,swed1254,Indo-European [indo1319],17.389526,59.800634
thavungso_aheu1239,Thavung So,aheu1239,Austroasiatic [aust1305],104.228545,17.76548
azerbaijani_nort2697,Azerbaijani,nort2697,Turkic [turk1311],46.4736975,40.977675000000005
centralthai_thai1261,Central Thai,thai1261,Tai-Kadai [taik1256],100.671386,14.191968
yagan_yama1264,Yagán,yama1264,NAN,-68.26479,-55.27479
khasi_khas1269,Khasi,khas1269,Austroasiatic [aust1305],91.99980500000001,24.97703
macushi_macu1259,Macushi,macu1259,Cariban [cari1283],-60.22087666666667,4.318613333333333
dargwamuiridialect_darg1241,Dargwa (Muiri dialect),darg1241,Nakh-Daghestanian [nakh1245],47.43876,42.42568
sanskrit_sans1269,Sanskrit,sans1269,Indo-European [indo1319],77.0,20.0
nungninbei_nung1283,Nung-Ninbei,nung1283,Tai-Kadai [taik1256],104.28585,20.8965
tabasarannortherndialectkhanagsubdialect_taba1259,Tabasaran (Northern dialect Khanag subdialect),taba1259,Nakh-Daghestanian [nakh1245],47.83791,42.01976
kumyk_kumy1244,Kumyk,kumy1244,Turkic [turk1311],47.0,43.0
takia_taki1248,Takia,taki1248,Austronesian [aust1307],145.97454,-4.69057
lak_lakk1252,Lak,lakk1252,Nakh-Daghestanian [nakh1245],47.0809,42.13275
albaniantoskvariety_tosk1239,Albanian (Tosk variety),tosk1239,Indo-European [indo1319],20.0,41.0
baure_baur1253,Baure,baur1253,Arawakan [araw1281],-64.18381,-13.12775
phong_phon1246,Phong,phon1246,Austroasiatic [aust1305],104.08797,19.96217
pacahuara_paca1246,Pacahuara,paca1246,Panoan [pano1256],-65.55679,-11.99684
zhuanglongzhou_zuoj1238,Zhuang-Longzhou,zuoj1238,Tai-Kadai [taik1256],107.3622,21.83753
maonan_maon1241,Maonan,maon1241,Tai-Kadai [taik1256],108.0244,25.01686
dargwasirkhidialect_darg1241,Dargwa (Sirkhi dialect),darg1241,Nakh-Daghestanian [nakh1245],47.43876,42.42568
chamalal_cham1309,Chamalal,cham1309,Nakh-Daghestanian [nakh1245],45.99496,42.50239
bezhta_bezh1248,Bezhta,bezh1248,Nakh-Daghestanian [nakh1245],46.03319,42.1206
kryz_kryt1240,Kryz,kryt1240,Nakh-Daghestanian [nakh1245],48.18457,41.18107
botlikh_botl1242,Botlikh,botl1242,Nakh-Daghestanian [nakh1245],46.19437,42.7658
elamite_elam1244,Elamite,elam1244,NAN,48.233333333333334,31.183333333333334
ket_kett1243,Ket,kett1243,Yeniseian [yeni1252],87.54663,63.75506
bulang_blan1242,Bulang,blan1242,Austroasiatic [aust1305],99.74047333333334,22.009203333333332
chadong_chad1240,Chadong,chad1240,Tai-Kadai [taik1256],109.96041,25.23532
guarani_para1311,Guaraní,para1311,Tupian [tupi1275],-57.08816,-25.60551
budukh_budu1248,Budukh,budu1248,Nakh-Daghestanian [nakh1245],48.33533,41.22722
lezgian_lezg1247,Lezgian,lezg1247,Nakh-Daghestanian [nakh1245],47.89507,41.51572
ingush_ingu1240,Ingush,ingu1240,Nakh-Daghestanian [nakh1245],44.15799,42.95255
komi_komi1268,Komi,komi1268,Uralic [ural1272],54.94599,64.05268
trinitario_trin1274,Trinitario,trin1274,Arawakan [araw1281],-65.40956,-15.33313
hausa_haus1257,Hausa,haus1257,Afro-Asiatic [afro1255],8.78039888888889,11.151274444444446
dargwamekegidialect_darg1241,Dargwa (Mekegi dialect),darg1241,Nakh-Daghestanian [nakh1245],47.43876,42.42568
munduruku_mund1330,Mundurukú,mund1330,Tupian [tupi1275],-57.69099,-8.41095
welsh_wels1247,Welsh,wels1247,Indo-European [indo1319],-4.0,52.0
eseejjahuarayo_esee1248,Ese Ejja (Huarayo),esee1248,Tacanan [taca1255],-67.51496,-11.72683
toba_toba1269,Toba,toba1269,Guaicuruan [guai1249],-60.44728666666666,-24.40253
northernsaami_nort2671,Northern Saami,nort2671,Uralic [ural1272],22.11129,68.72499666666666
indonesian_indo1316,Indonesian,indo1316,Austronesian [aust1307],109.71572,-7.33458
rotuman_rotu1241,Rotuman,rotu1241,Austronesian [aust1307],177.06614,-12.50082
kaingang_kain1272,Kaingáng,kain1272,Nuclear-Macro-Je [nucl1710],-52.53937,-27.76708
ache_ache1246,Aché,ache1246,Tupian [tupi1275],-56.46968,-25.58653
bengali_beng1280,Bengali,beng1280,Indo-European [indo1319],90.0,24.0
kumykkarabudakhkentdialect_kumy1244,Kumyk (Karabudakhkent dialect),kumy1244,Turkic [turk1311],47.0,43.0
pacaasnovos_wari1268,Pacaas Novos,wari1268,Chapacuran [chap1271],-64.56152,-10.69948
basque_basq1248,Basque,basq1248,NAN,-1.31622,43.27872
trumai_trum1247,Trumai,trum1247,NAN,-53.5717,-11.81195
gurindji_guri1247,Gurindji,guri1247,Pama-Nyungan [pama1250],130.37933,-17.03293
paliu_boly1239,Paliu,boly1239,Austroasiatic [aust1305],104.95452,24.70131
