1600,SKIRT,11
1616,CLOTH,11
1622,SHIRT,11
1200,HUSBAND,12
2261,MALE (OF PERSON),12
2263,MALE (OF ANIMAL),12
1553,MALE,12
424,MARRIED MAN,12
1554,MAN,12
262,HE OR SHE OR IT,13
1834,SHE,13
1211,HE,13
78,THAT,13
169,IT,13
817,THEY,13
834,BUTTOCKS,14
2094,DOWN OR BELOW,14
1326,DOWN,14
193,SHALLOW,14
721,LOW,14
690,BOTTOM,14
1677,WORKSHOP,14
1645,SHORT,14
1485,BELOW OR UNDER,14
355,CUT DOWN,15
588,BROKEN,15
680,BREAK (DESTROY OR GET DESTROYED),15
190,MOW,15
1432,CUT,15
1437,SPLIT,15
228,CARVE,15
1948,SAW,15
155,CHOP,15
1735,TEAR (SHRED),15
932,BARLEY,16
605,GRAIN,16
1077,WHEAT,16
191,NUT,16
714,SEED,16
506,MAIZE,16
611,HARVEST,16
60,OAT,16
1507,FRUIT,16
926,RICE,16
23,RYE,16
924,VEGETABLES,16
2022,ADMIT,17
304,PREACH,17
1626,EXPLAIN,17
1623,SPEAK,17
1115,SPEECH,17
1711,TELL,17
1039,SHOW,17
9,ANNOUNCE,17
1458,SAY,17
1275,ANSWER,17
715,SHOUT,18
1839,CRY,18
180,CALL BY NAME,18
716,GROAN,18
298,SHRIEK,18
1405,NAME,18
526,HOWL,18
1611,INVITE,18
1084,CALL,18
1307,LANGUAGE,19
1599,WORD,19
1363,VOICE,19
1811,SOUND OR NOISE,19
1205,TONGUE,19
873,TAX,20
1902,BETRAY,20
856,HIRE,20
718,PAY,20
582,LEND,20
1696,SURRENDER,20
1447,GIVE,20
1869,BUY,20
1571,SELL,20
1823,BORROW,20
414,CARRY ON HEAD,21
413,CARRY ON SHOULDER,21
43,LEAD (GUIDE),21
415,CARRY UNDER ARM,21
412,CARRY IN HAND,21
692,BRING,21
741,DRIVE,21
700,CARRY,21
1268,YES,22
1725,CORRECT (RIGHT),22
509,CERTAIN,22
482,NOBLE,22
1019,RIGHT,22
1657,TRUE,22
100,FAITHFUL,22
1404,STRAIGHT,22
1470,FOLD,23
1445,TURN (SOMETHING),23
827,ROLL,23
121,SPIN,23
1113,WRAP,23
430,TWIST,23
2004,BEND,23
297,CROOKED,23
1588,TURN,23
934,BUFFALO,24
631,LIVESTOCK,24
1153,CATTLE,24
312,TAPIR,24
619,ANIMAL,24
1169,OX,24
1989,CALF,24
